Country,TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,ActiveCases,Critical,TotalTests,Continent,date
North America,"1,831,384","+6,835","112,172",+542,"507,291","1,211,921","18,246",,North America,24-May-2020
Europe,"1,880,933","+12,767","168,740",+321,"860,551","851,642","10,488",,Europe,24-May-2020
South America,"582,466","+4,279","29,543",+182,"218,738","334,185","10,716",,South America,24-May-2020
Asia,"929,648","+17,612","26,899",+225,"540,301","362,448","4,842",,Asia,24-May-2020
Africa,"106,321",+476,"3,207",+3,"43,280","59,834",302,,Africa,24-May-2020
Oceania,"8,719",+16,123,+1,"8,050",546,6,,Australia/Oceania,24-May-2020
,721,,15,,651,55,4,,,24-May-2020
World,"5,340,192","+41,985","340,699","+1,274","2,178,862","2,820,631","44,604",,All,24-May-2020
USA,"1,648,283","+3,189","97,696",+49,"403,312","1,147,275","17,109","13,968,673",North America,24-May-2020
Russia,"335,882","+9,434","3,388",+139,"107,936","224,558","2,300","8,402,747",Europe,24-May-2020
Brazil,"334,777","+3,887","21,215",+167,"135,430","178,132","8,318","735,224",South America,24-May-2020
Spain,"281,904",,"28,628",,"196,958","56,318","1,152","3,037,840",Europe,24-May-2020
UK,"254,195",,"36,393",,,,"1,559","3,231,921",Europe,24-May-2020
Italy,"228,658",,"32,616",,"136,720","59,322",595,"3,318,778",Europe,24-May-2020
France,"182,219",,"28,289",,"64,209","89,721","1,701","1,384,633",Europe,24-May-2020
Germany,"179,768",+55,"8,354",+2,"159,900","11,514",965,"3,595,059",Europe,24-May-2020
Turkey,"154,500",,"4,276",,"116,111","34,113",800,"1,767,495",Asia,24-May-2020
Iran,"133,521","+1,869","7,359",+59,"104,072","22,090","2,633","781,286",Asia,24-May-2020
India,"127,358","+2,564","3,759",+33,"52,272","71,327",,"2,834,798",Asia,24-May-2020
Peru,"111,698",,"3,244",,"44,848","63,606",901,"750,526",South America,24-May-2020
Canada,"82,480",,"6,250",,"42,594","33,636",502,"1,405,208",North America,24-May-2020
Saudi Arabia,"70,161","+2,442",379,+15,"41,236","28,546",302,"667,057",Asia,24-May-2020
Mexico,"62,527","+2,960","6,989",+479,"42,725","12,813",378,"201,838",North America,24-May-2020
Chile,"61,857",,630,,"25,342","35,885",986,"442,093",South America,24-May-2020
Belgium,"56,810",+299,"9,237",+25,"15,155","32,418",259,"768,706",Europe,24-May-2020
Pakistan,"52,437","+1,743","1,101",+34,"16,653","34,683",111,"460,692",Asia,24-May-2020
Netherlands,"45,064",+176,"5,811",+23,,,252,"313,755",Europe,24-May-2020
Qatar,"42,213","+1,732",21,+2,"8,513","33,679",177,"184,794",Asia,24-May-2020
Ecuador,"35,828",,"3,056",,"3,557","29,215",191,"104,330",South America,24-May-2020
Belarus,"35,244",+941,194,+4,"13,528","21,522",92,"434,618",Europe,24-May-2020
Sweden,"33,188",+379,"3,992",+67,"4,971","24,225",265,"209,900",Europe,24-May-2020
Bangladesh,"32,078","+1,873",452,+20,"6,486","25,140",1,"234,675",Asia,24-May-2020
Singapore,"31,068",+642,23,,"12,995","18,050",8,"294,414",Asia,24-May-2020
Switzerland,"30,725",+18,"1,905",+2,"27,900",920,51,"367,037",Europe,24-May-2020
Portugal,"30,471",+271,"1,302",+13,"7,705","21,464",80,"689,705",Europe,24-May-2020
UAE,"27,892",,241,,"13,798","13,853",1,"1,600,923",Asia,24-May-2020
Ireland,"24,506",,"1,592",,"21,060","1,854",54,"295,626",Europe,24-May-2020
Indonesia,"21,745",+949,"1,351",+25,"5,249","15,145",,"239,740",Asia,24-May-2020
Poland,"20,838",+219,990,+8,"8,977","10,871",160,"750,939",Europe,24-May-2020
Ukraine,"20,580",+432,605,+17,"6,929","13,046",256,"277,712",Europe,24-May-2020
Kuwait,"20,464",+900,148,+10,"5,747","14,569",192,"268,154",Asia,24-May-2020
South Africa,"20,125",,397,,"10,104","9,624",119,"543,032",Africa,24-May-2020
Colombia,"19,131",,682,,"4,575","13,874",136,"235,948",South America,24-May-2020
