PNAME,Island,Area Council,Village Name,Male,Female,Totpop,HH,X,Y
MALAMPA,Ambrym,South East Ambrym,Ase,46,35,81,28,-16.300868,168.279614
MALAMPA,Ambrym,South East Ambrym,Endu Pehakul,112,92,204,65,-16.259752,168.255032
MALAMPA,Ambrym,South East Ambrym,Endu Poal,8,6,14,5,-16.256827,168.246299
MALAMPA,Ambrym,South East Ambrym,Etong,4,6,10,2,,
MALAMPA,Ambrym,South East Ambrym,Maat,13,13,26,7,,
MALAMPA,Ambrym,South East Ambrym,Mbareas,28,31,59,15,,
MALAMPA,Ambrym,South East Ambrym,Mboi,10,4,14,4,,
MALAMPA,Ambrym,South East Ambrym,Moru,32,40,72,21,,
MALAMPA,Ambrym,South East Ambrym,Pamal,54,66,120,37,,
MALAMPA,Ambrym,South East Ambrym,Penapo,46,56,102,27,,
MALAMPA,Ambrym,South East Ambrym,Renau,1,0,1,1,,
MALAMPA,Ambrym,South East Ambrym,Sahuot,36,30,66,17,,
MALAMPA,Ambrym,South East Ambrym,Sai Bethel,41,35,76,21,,
MALAMPA,Ambrym,South East Ambrym,Sameou,81,73,154,53,-16.299294,168.299444
MALAMPA,Ambrym,South East Ambrym,Senai,2,2,4,1,,
MALAMPA,Ambrym,South East Ambrym,Taviak,57,55,112,26,-16.355526,168.23337
MALAMPA,Ambrym,South East Ambrym,Toak,72,71,143,45,16.338095,168.294243
MALAMPA,Ambrym,South East Ambrym,Ulei,69,64,133,40,,
MALAMPA,Ambrym,South East Ambrym,Utas,43,49,92,23,,
MALAMPA,Ambrym,South East Ambrym,Vemali,14,12,26,9,,
MALAMPA,Ambrym,South East Ambrym,Vembaksambai,22,18,40,10,,
Total for South East Ambrym,,,,791,758,1549,457,,
