PNAME,Island,Area Council,Village_Name,Male,Female,Totpop,HH,X,Y,,
MALAMPA,Ambrym,South East Ambrym,Ase,46,35,81,28,-16.300868,168.279614,,
MALAMPA,Ambrym,South East Ambrym,Endu Pehakul,112,92,204,65,-16.259752,168.255032,,
MALAMPA,Ambrym,South East Ambrym,Endu Poal,8,6,14,5,-16.256827,168.246299,,
MALAMPA,Ambrym,South East Ambrym,Etong,4,6,10,2,2,3,,
MALAMPA,Ambrym,South East Ambrym,Maat,13,13,26,7,-16.339618,168.274181,,
MALAMPA,Ambrym,South East Ambrym,Mbareas,28,31,59,15,-16.336161,168.268669,,
MALAMPA,Ambrym,South East Ambrym,Mboi,10,4,14,4,5,6,,
MALAMPA,Ambrym,South East Ambrym,Moru,32,40,72,21,-16.355907,168.253476,,
MALAMPA,Ambrym,South East Ambrym,Pamal,54,66,120,37,-16.323115,168.306452,,
MALAMPA,Ambrym,South East Ambrym,Penapo,46,56,102,27,-16.346163,168.286388,,
MALAMPA,Ambrym,South East Ambrym,Renau,1,0,1,1,-16.299553,168.305035,,
MALAMPA,Ambrym,South East Ambrym,Sahuot,36,30,66,17,-16.336675,168.267898,,
MALAMPA,Ambrym,South East Ambrym,Sai Bethel,41,35,76,21,-16.355325,168.259308,,
MALAMPA,Ambrym,South East Ambrym,Sameou,81,73,154,53,-16.299294,168.299444,,
MALAMPA,Ambrym,South East Ambrym,Senai,2,2,4,1,-16.353858,168.266298,,
MALAMPA,Ambrym,South East Ambrym,Taviak,57,55,112,26,-16.355526,168.23337,,
MALAMPA,Ambrym,South East Ambrym,Toak,72,71,143,45,-16.338116,168.29419,,
MALAMPA,Ambrym,South East Ambrym,Ulei,69,64,133,40,-16.333082,168.299253,,
MALAMPA,Ambrym,South East Ambrym,Utas,43,49,92,23,-16.353328,168.273059,,
MALAMPA,Ambrym,South East Ambrym,Vemali,14,12,26,9,14,15,,
MALAMPA,Ambrym,South East Ambrym,Vembaksambai,22,18,40,10,-16.347601,168.255404,,
Total for South East Ambrym,,,,791,758,1549,457,16,17,,
MALAMPA,Ambrym,North Ambrym,Behaltalam,15,7,22,4,-16.118636,168.132878,,
MALAMPA,Ambrym,North Ambrym,Bogor,28,31,59,12,-16.114678,168.158044,,
MALAMPA,Ambrym,North Ambrym,Envere,3,1,4,1,20,21,,
MALAMPA,Ambrym,North Ambrym,Falibour,36,27,63,16,-16.11006,168.182512,,
MALAMPA,Ambrym,North Ambrym,Fanla,60,71,131,29,-16.134287,168.131309,,
MALAMPA,Ambrym,North Ambrym,Fanrereo,51,53,104,24,-16.139991,168.129111,,
MALAMPA,Ambrym,North Ambrym,Fansar,14,15,29,8,-16.120038,168.147482,,
MALAMPA,Ambrym,North Ambrym,Fantan,33,38,71,13,-16.111132,168.151089,,
MALAMPA,Ambrym,North Ambrym,Fantcheveur,35,34,69,14,-16.128159,168.138033,,
MALAMPA,Ambrym,North Ambrym,Faramsu,34,38,72,15,-16.160932,168.107982,,
MALAMPA,Ambrym,North Ambrym,Faraptawonwon,15,14,29,5,-16.102804,168.151946,,
MALAMPA,Ambrym,North Ambrym,Farapupol,18,12,30,7,-16.110143,168.160451,,
MALAMPA,Ambrym,North Ambrym,Fatima,8,7,15,3,30,31,,
MALAMPA,Ambrym,North Ambrym,Fona,19,30,49,13,-16.112781,168.130678,,
MALAMPA,Ambrym,North Ambrym,Fonmur,10,8,18,5,32,33,,
MALAMPA,Ambrym,North Ambrym,Fonteng,24,28,52,11,-16.108411,168.180892,,
MALAMPA,Ambrym,North Ambrym,Halhal Taworo,3,10,13,2,34,35,,
MALAMPA,Ambrym,North Ambrym,Harimal,27,30,57,19,35,36,,
MALAMPA,Ambrym,North Ambrym,Konkon,49,49,98,20,-16.147469,168.193824,,
MALAMPA,Ambrym,North Ambrym,Likon,26,21,47,10,37,38,,
MALAMPA,Ambrym,North Ambrym,Linbul,91,92,183,35,-16.127788,168.127402,,
